EMAIL,FIRST_NAME,LAST_NAME,COUNTRY,CITY,DATE_OF_BIRTH,GENDER
0304@mailinator.com,,huy duong,,,,unknown
111@mailinator.com,NGUYEN,ANH,,,1999-12-18,female
12121@mailinator.com,VAN A,NGUYEN,VN,Ho Chi Minh City,2000-11-11,male
12312zsfdv3@mailinator.com,,Vinh,,,,unknown
2053404040252@mailinator.com,,"DUONG, THI HONG NHUNG",,,,unknown
234@mailinator.com,ANH,LAN,,,2005-01-01,female
333@mailinator.com,NGUYEN,ANH,,,1997-12-09,female
369205910@mailinator.com,,"XI AN YUTU INFORMATION TECHNOLOGY CO., LTD",,,,unknown
55435@mailinator.com,C,Q,,,2003-01-01,male
7.lekieudiem@mailinator.com,KIEU DIEM,LE,,,2004-10-29,female
793244037@mailinator.com,,"WANG, ZI",,,,unknown
84333322211@mailinator.com,TRAN,SUONG,,,2000-06-15,male
abc@mailinator.com,TEST,TEST,,,2000-05-05,male
abcd@mailinator.com,C,A,,,2002-07-09,male
acb@mailinator.com,KHANG,NGUYEN,,,1990-01-31,male
adelladaultonmk@mailinator.com,,Way,,,,unknown
adfgsd@mailinator.com,,Duong Huy,,,,unknown
admin6@mailinator.com,,XU XUELING,,,,unknown
admin@mailinator.com,DANG KHOA,NGUYEN,VN,Ho Chi Minh City,1995-10-12,male
adsfasdf@mailinator.com,MINH CHINH,PHAM,,,1999-03-10,male
ag@mailinator.com,B,A,VN,Ho Chi Minh City,1978-12-06,male
airline.autoemailmerchant@mailinator.com,THAO,TRAN,,,2005-11-21,female
alhindit1@mailinator.com,,SFDDDG DGEGVV,,,,unknown
an-dy.gu_an@mailinator.com,,AndyGuan,,,,unknown
anhdangth@mailinator.com,,"NGHIEM, MANH TUAN",,,,unknown
anhlequynh123@mailinator.com,ANH,NGUYEN,,Ho Chi Minh City,1997-01-01,male
anhlevt@mailinator.com,,"LE, VU TRAM ANH",,,,unknown
anhthu09080706@mailinator.com,LE ANH,NGUYEN,VN,Ho Chi Minh City,1997-02-11,male
annla.scvietnam@mailinator.com,,CTY CP ANNLA VIET NAM,,,,unknown
antammotri@mailinator.com,,Thomas Ronald,,,,unknown
api.vja@mailinator.com,,CONG TY TNHH HO PHI LONG,,,,unknown
api@mailinator.com,,TONG GIANG HUY,,,,unknown
apiteam@mailinator.com,,Yuta Tago,,,,unknown
app@mailinator.com,,ST AG DEMO,,,,unknown
aravind@mailinator.com,,kaviyarasan kumar,,,,unknown
asd@mailinator.com,WEREW,ASD,,,2000-12-22,male
asdasd@asdd.asd,NGUYEN,MAI,,,2001-02-08,male
asdasd@mailinator.com,Q,Q,,,2011-07-27,male
asdfghjsky@mailinator.com,ANH TUNG,NGUYEN,VN,Ho Chi Minh City,1991-08-13,male
asdsad@mailinator.com,PAUL JERRY,MURPHY,,,2065-10-29,male
b2c@mailinator.com,,PHAN LE PHU,,,,unknown
bao.duong@mailinator.com,,QUQUO BABAO NENE,,,,unknown
be_flight_049@mailinator.com,,"TRAN, VAN HIEU",,,,unknown
be_flight_050@mailinator.com,,"LHOE, SUNI",,,,unknown
binhnp@mailinator.com,,PHUOC BINH NGUYEN,,,,unknown
bktuyen103@mailinator.com,KHAC TU,BUI,,,1955-03-02,male
bngoc080204@mailinator.com,THI BICH NGOC,PHAM,,,2000-08-02,female
bontukyhpkt@mailinator.com,SY THIEN,HO,,,2003-10-02,female
booking@mailinator.com,,,,,1981-10-11,male
bsiabwjq@mailinator.com,VAN MINH,VO,,,1999-03-10,male
budonghae@mailinator.com,BINH,TRINH,,Ha Noi,1999-10-22,male
buiduc184@mailinator.com,,TRAN HOAI NAM,,,,unknown
butsanee@mailinator.com,,nina aisoft,,,,unknown
bzhxh@mailinator.com,THI KIM NHANH,PHAM,,,1982-05-10,male
camphuong2828282@mailinator.com,,LE HONG CAM PHUONG,,,,unknown
canhnam@mailinator.com,,Datacom,,,,unknown
caominhtester@mailinator.com,,MINH DO,,,,unknown
chanchan3467@mailinator.com,HAI NINH,NGUYEN,,,1992-10-26,male
chanchanne234@mailinator.com,,CHAN CHAN,,,,unknown
changeseg@mailinator.com,,"TRAN, NGO TRUONG",,,,unknown
chanhtt@mailinator.com,THI THIEN CHAN,HUYNH,VN,Quang Binh,1993-10-18,female
chau.01287597273@mailinator.com,ANH DUY,TRAN,,,2000-08-08,male
chi.mnguyen294@mailinator.com,MANH DOAT,NGUYEN,VN,Ha Noi,1958-01-01,male
